,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
26,842573,https://www.airbnb.com/rooms/842573,20240917031409,2024-09-17,previous scrape,Artist's house,"Small and cosy loft in the historical city center, near the park ""Giardini Margherita"".<br />Direct connection with the train station and Bologna's Fair. <br />Perfect for people keen for art, cinema and cooking. And of course the WIFI works perfectly!","The neighborhood is like a village inside the historical city center. Quite and not expensive, well connected with the whole city, with some old shop and handcraft laboratory, and many nice cafes, bars, restaurants, ""trattorie"" and cinemas.<br />Just across ""the ring street"" there's the biggest park in town: Giardini Margherita.<br />And the best ice-cream shop in town is just one block form the house!",https://a0.muscache.com/pictures/11991744/350a459c_original.jpg,4399085,https://www.airbnb.com/users/show/4399085,Anna,2012-12-13,"Bologna, Italy","Sono italiana e sono una regista di video documentari e sperimentali. Lavoro molto spesso in Francia, Belgio, Olanda e Germania.
Lavoro con il gruppo di artisti ""ZimmerFrei"".
Le mia passioni sono il cinema, il tango e il Mar Mediterraneo.

I'm from Italy and I work very often in Belgium, France, Holland and Germany.
My work is producing and shooting documentary films.
I work in a group of artist called ZimmerFrei.
I love cinema, tango and the Mediterranean see.",a few days or more,25%,0%,f,https://a0.muscache.com/im/users/4399085/profile_pic/1392206878/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4399085/profile_pic/1392206878/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Bologna, Emilia-Romagna, Italy",Santo Stefano,,44.48589,11.34867,Entire rental unit,Entire home/apt,3,,1 bath,1.0,,"[""Dishes and silverware"", ""Refrigerator"", ""Bed linens"", ""Cooking basics"", ""Oven"", ""Stove"", ""Dishwasher"", ""Ethernet connection"", ""Heating"", ""Extra pillows and blankets"", ""Wifi"", ""Hair dryer"", ""Hangers"", ""Kitchen"", ""Air conditioning"", ""Hot water"", ""Washer"", ""Essentials""]",,6,60,6,6,60,60,6.0,60.0,,t,0,3,33,123,2024-09-17,47,0,0,2013-04-29,2022-07-22,4.94,4.89,4.6,5.0,4.96,4.87,4.85,,f,1,1,0,0,0.34
131,4051295,https://www.airbnb.com/rooms/4051295,20240917031409,2024-09-17,city scrape,B&B S. Giovanni in Monte,In the heart of Bologna there is a double bedroom with private bathroom and independent entrance.<br /><br />In the heart of Bologna there is a lovely bedroom with private bathroom and private entrance.<br /><br />CIR: 037006-BB-00604,"The B&B's location is strategic: it is located on the street of the Duse Theater, a short walk from the pedestrian Piazza S.Stefano with its “Seven Churches” and the Two Towers. You can reach Piazza Maggiore, the museums, the alleys of the market, the elegant Cavour Gallery and all the most interesting places of the city on foot in a few minutes. You can walk protected by the magnificent arcades that the historic center is equipped with, but the Margherita Gardens, the most beautiful park in Bologna, are also very close. In front of the B&B there are two great restaurants, the area is well frequented, lively but quiet and safe; in the surroundings there are numerous bars, restaurants, cinemas and  cozy places.",https://a0.muscache.com/pictures/miso/Hosting-4051295/original/040b83cc-a458-46e4-a787-b12e315b5657.jpeg,20806935,https://www.airbnb.com/users/show/20806935,Anna,2014-09-01,"Bologna, Italy","Sono romana ma vivo a Bologna dal 1991, sono architetto ed ho una figlia di 25 anni che mi aiuta come co-host. E' veramente emozionante pensare che delle persone decidano di venire nel mio B&B da posti lontanissimi e la maggiore soddisfazione è quando l'ospite decide di tornare da me!",within an hour,100%,99%,f,https://a0.muscache.com/im/users/20806935/profile_pic/1440500163/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/20806935/profile_pic/1440500163/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Bologna, Emilia-Romagna, Italy",Santo Stefano,,44.48946,11.34921,Private room in bed and breakfast,Private room,2,1.0,1 private bath,1.0,1.0,"[""Bed linens"", ""Fire extinguisher"", ""Breakfast"", ""Clothing storage: closet"", ""Hangers"", ""Essentials"", ""Hot water kettle"", ""City skyline view"", ""Iron"", ""Body soap"", ""Heating"", ""Extra pillows and blankets"", ""Wifi"", ""Private entrance"", ""Courtyard view"", ""Refrigerator"", ""Paid parking off premises"", ""Hot water"", ""Luggage dropoff allowed"", ""Shampoo"", ""Room-darkening shades"", ""Mini fridge"", ""Dedicated workspace"", ""Smoke alarm"", ""Host greets you"", ""Laundromat nearby"", ""Shower gel"", ""Coffee"", ""Bidet"", ""TV"", ""Elevator"", ""Hair dryer"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Coffee maker""]",$76.00,2,10,2,2,10,10,2.0,10.0,,t,3,19,49,53,2024-09-17,304,50,2,2014-09-24,2024-09-16,4.83,4.94,4.95,4.96,4.94,4.96,4.8,IT037006C174JK7TZ9,t,1,0,1,0,2.5
574,17992919,https://www.airbnb.com/rooms/17992919,20240917031409,2024-09-17,city scrape,Suite Sofia close to historical city center,"Suite Sofia is a bright 25-square-metre studio, which has recently been renovated and re-furnished, situated on the second and top floor of a building (without lift) with central heating, air conditioning, private parking space. The studio is not located in the restricted traffic area, thus it can be reached by car without any special permission.",,https://a0.muscache.com/pictures/806ac362-ba1a-4ea1-b6ed-d8fd394fe1bd.jpg,123633200,https://www.airbnb.com/users/show/123633200,Anna,2017-03-31,"Bologna, Italy",Ciao sono Sofia!,within a day,100%,75%,t,https://a0.muscache.com/im/pictures/user/77dd2b18-968a-4cd2-b7c1-8fc1e9d0c35e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/77dd2b18-968a-4cd2-b7c1-8fc1e9d0c35e.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,Santo Stefano,,44.49874,11.35585,Entire rental unit,Entire home/apt,1,1.0,1 bath,1.0,1.0,"[""Bed linens"", ""Dining table"", ""Hangers"", ""Clothing storage: closet and dresser"", ""Stove"", ""Essentials"", ""Cleaning products"", ""Coffee maker: espresso machine"", ""Body soap"", ""Heating"", ""Extra pillows and blankets"", ""Wifi"", ""Wine glasses"", ""Free parking on premises"", ""Refrigerator"", ""Drying rack for clothing"", ""Hot water"", ""Shampoo"", ""Room-darkening shades"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Dedicated workspace"", ""Host greets you"", ""Shower gel"", ""Bidet"", ""Microwave"", ""TV"", ""Hair dryer"", ""Kitchen"", ""Air conditioning""]",$55.00,14,40,14,14,40,40,14.0,40.0,,t,0,30,60,150,2024-09-17,124,4,0,2017-04-05,2024-06-01,4.9,4.92,4.94,4.93,4.95,4.76,4.78,,f,2,2,0,0,1.37
732,21974676,https://www.airbnb.com/rooms/21974676,20240917031409,2024-09-17,city scrape,"Azeglio apartment, neighboring Piazza Maggiore","Spacious apartment with 2 bedrooms and 2 bathrooms that can accommodate up to 6 people in total comfort. Located a few steps from Piazza Maggiore, at the beginning of Via D'Azeglio, the most prestigious street in the city, it allows you to visit the city and its main attractions easily by moving on foot.","We are exactly in the center of the old medieval city, adjacent to Piazza Maggiore. Piazza Maggiore is the main square of Bologna and is surrounded by the most important buildings of the city: Palazzo Podestà, which dates back to 1200, Palazzo Re Enzo, Palazzo d'Accursio, a monumental architectural complex of fourteenth-century origin, currently the headquarters of the Municipality of Bologna. The last side of the square is embellished by the Basilica of San Petronio, an example of Italian Gothic, begun at the end of the fourteenth century and still unfinished. Palazzo Banchi marks the beginning of the most famous portico of the city, the Pavaglione, which connects Piazza Maggiore to the Palazzo dell'Archiginnasio, the first headquarters of the University of Bologna: the oldest in the world. Today the headquarters of the University is less than 10 minutes walk from the apartment, in via Zamboni, half of which belongs to the Teatro Comunale.",https://a0.muscache.com/pictures/a3e3691f-396b-4c25-abea-387a1a59f816.jpg,160439995,https://www.airbnb.com/users/show/160439995,Anna,2017-11-28,,,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/08ba0cd0-c9e3-4ecf-b160-0d825dc0254b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/08ba0cd0-c9e3-4ecf-b160-0d825dc0254b.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Bologna, Emilia-Romagna, Italy",Santo Stefano,,44.49447,11.34328,Entire rental unit,Entire home/apt,6,2.0,2 baths,2.0,3.0,"[""Bed linens"", ""Hangers"", ""Stove"", ""Essentials"", ""Oven"", ""Dishwasher"", ""Iron"", ""Heating"", ""Wifi"", ""Patio or balcony"", ""Refrigerator"", ""Paid parking off premises"", ""Hot water"", ""Pack \u2019n play/Travel crib"", ""Shampoo"", ""Dishes and silverware"", ""Cooking basics"", ""Host greets you"", ""Washer"", ""Long term stays allowed"", ""Pets allowed"", ""TV"", ""Elevator"", ""Hair dryer"", ""Kitchen"", ""Air conditioning"", ""Coffee maker""]",$312.00,2,1125,2,5,1125,1125,4.6,1125.0,,t,14,44,74,327,2024-09-17,131,19,2,2017-12-21,2024-08-31,4.76,4.82,4.73,4.93,4.87,4.99,4.65,037006-AT-03170,t,1,1,0,0,1.6
802,23187476,https://www.airbnb.com/rooms/23187476,20240917031409,2024-09-17,city scrape,1 bedroom w/terrace near Giardini Margherita,"A cool and comfortable apartment, designed and worn, a stone's throw from downtown and attached to the Jardin Margherita. <br />15 minutes by car from the Central Station.<br />Equipped with a single bedroom, wifi with very fast fiber, a sofa that can accommodate a child, pleasant terrace for outdoor dining.<br />Third floor with elevator.",,https://a0.muscache.com/pictures/miso/Hosting-23187476/original/17edf352-b463-4a79-bf6b-76d754b6b0dc.jpeg,6757614,https://www.airbnb.com/users/show/6757614,Anna,2013-06-05,"London, United Kingdom",Italy,,,100%,f,https://a0.muscache.com/im/users/6757614/profile_pic/1370460435/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6757614/profile_pic/1370460435/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,f,,Santo Stefano,,44.4829,11.35834,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Paid parking on premises"", ""Smoke alarm"", ""TV"", ""Wifi"", ""Host greets you"", ""Kitchen"", ""Air conditioning"", ""Outdoor dining area"", ""Washer""]",$130.00,2,365,2,2,365,365,2.0,365.0,,t,27,57,87,87,2024-09-17,0,0,0,,,,,,,,,,,f,1,1,0,0,
810,23330023,https://www.airbnb.com/rooms/23330023,20240917031409,2024-09-17,city scrape,B&B Appartamento  Anna  2 Fiera Fico,"Apartment located on the third and penultimate floor with elevator, consisting of two bedrooms, a bathroom with terrace and living room with kitchenette and double sofa bed. It is complete with all the comforts that an apartment needs, always equipped, including sheets, towels, disposable personal hygiene.<br />In the very first vicinity there are parks for children, shopping centers, banks, post office, bus terminal to reach the center in just 15 minutes. Fiera e Fico very<br />close.","The apartment is located in<br />An ideal area: Within 2 km you will find: Fiera, Fico, Savoie convention center; Maraville Park ( full of shops of all kinds), Pilastro shopping center, Eleclerc shopping center, Despar, Lidel, banks, pharmacies, post office, children's parks, sports centers. Bike trails that can be reached downtown, etc.",https://a0.muscache.com/pictures/9997eb69-c134-4ab7-bc33-410c39c58385.jpg,156524587,https://www.airbnb.com/users/show/156524587,Anna,2017-10-28,"Bologna, Italy","Casalinga, con voglia di tenersi impegnata oltre alla vita famigliare.",,,100%,f,https://a0.muscache.com/im/pictures/user/User-156524587/original/3dffe74a-f966-4e2d-9e31-9a3172bb349d.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-156524587/original/3dffe74a-f966-4e2d-9e31-9a3172bb349d.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Bologna, Emilia-Romagna, Italy",San Donato - San Vitale,,44.5127,11.39584,Entire rental unit,Entire home/apt,9,1.0,1 bath,2.0,4.0,"[""Breakfast"", ""Hangers"", ""Essentials"", ""Iron"", ""Heating"", ""Wifi"", ""Free parking on premises"", ""Free street parking"", ""Hot water"", ""Shampoo"", ""Dishes and silverware"", ""Host greets you"", ""Washer"", ""TV"", ""Elevator"", ""Hair dryer"", ""Kitchen"", ""Air conditioning"", ""Coffee maker""]",$100.00,2,28,2,2,28,28,2.0,28.0,,t,1,16,46,226,2024-09-17,48,0,0,2018-03-18,2020-02-22,4.67,4.81,4.9,4.83,4.81,4.5,4.6,,t,1,1,0,0,0.61
933,27132705,https://www.airbnb.com/rooms/27132705,20240917031409,2024-09-17,city scrape,Battisti Luxury in the historical city,Beautiful newly renovated apartment with lots of thoughtful touches in the historical city centre close to Piazza Maggiore.,,https://a0.muscache.com/pictures/6eee342c-9c67-4851-b44f-93a82e75531a.jpg,123633200,https://www.airbnb.com/users/show/123633200,Anna,2017-03-31,"Bologna, Italy",Ciao sono Sofia!,within a day,100%,75%,t,https://a0.muscache.com/im/pictures/user/77dd2b18-968a-4cd2-b7c1-8fc1e9d0c35e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/77dd2b18-968a-4cd2-b7c1-8fc1e9d0c35e.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,Porto - Saragozza,,44.49386,11.33844,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Hangers"", ""Clothing storage: closet and dresser"", ""Essentials"", ""Cleaning products"", ""Iron"", ""Body soap"", ""Heating"", ""Extra pillows and blankets"", ""Wifi"", ""Refrigerator"", ""Bathtub"", ""Drying rack for clothing"", ""Hot water"", ""Shampoo"", ""Room-darkening shades"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Dedicated workspace"", ""Washer"", ""Shower gel"", ""Bidet"", ""TV"", ""Elevator"", ""Hair dryer"", ""Kitchen"", ""Coffee maker""]",$120.00,14,28,14,14,28,28,14.0,28.0,,t,2,27,57,57,2024-09-17,23,4,0,2018-09-23,2024-05-25,4.91,4.78,5.0,4.96,4.96,4.96,4.74,,f,2,2,0,0,0.32
989,28397801,https://www.airbnb.com/rooms/28397801,20240917031409,2024-09-17,city scrape,Single room in Bologna City Center,"Single room downtown in Bologna City close to the Fair, Train Station, University or main square. Modern flat with maximum of comfort provided. Clean, silent and friendly envinronment guaranteed, very close to the bus station.",Close to public transport to Bologna fair in the center and train station,https://a0.muscache.com/pictures/308a8742-af9f-4a59-9a73-71df6c2c99f4.jpg,88707458,https://www.airbnb.com/users/show/88707458,Anna,2016-08-08,"Bologna, Italy",Sono lieta di ospitarti nel mio appartamento,within an hour,100%,85%,f,https://a0.muscache.com/im/pictures/user/d785ed0e-1495-4585-a3d1-c5fd4bc58899.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d785ed0e-1495-4585-a3d1-c5fd4bc58899.jpg?aki_policy=profile_x_medium,,5,5,"['email', 'phone', 'work_email']",t,t,"Bologna, Emilia-Romagna, Italy",Navile,,44.50827,11.34593,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Dishes and silverware"", ""Refrigerator"", ""First aid kit"", ""Iron"", ""Dedicated workspace"", ""Shared patio or balcony"", ""Heating"", ""Wifi"", ""Private entrance"", ""Kitchen"", ""Elevator"", ""Hangers"", ""Lock on bedroom door"", ""Washer"", ""Essentials""]",$88.00,3,1125,2,2,1125,1125,2.0,1125.0,,t,25,55,85,85,2024-09-17,0,0,0,,,,,,,,,,,f,5,0,5,0,
993,28449481,https://www.airbnb.com/rooms/28449481,20240917031409,2024-09-17,city scrape,"Private room downtown, fair Bologna","Single room downtown in Bologna City close to the Fair, Train Station, University or main square. Modern flat with maximum of comfort provided. Clean, silent and friendly envinronment guaranteed, very close to the bus station.",Close to the center and fair of Bologna (fair) near the buses and train station,https://a0.muscache.com/pictures/308a8742-af9f-4a59-9a73-71df6c2c99f4.jpg,88707458,https://www.airbnb.com/users/show/88707458,Anna,2016-08-08,"Bologna, Italy",Sono lieta di ospitarti nel mio appartamento,within an hour,100%,85%,f,https://a0.muscache.com/im/pictures/user/d785ed0e-1495-4585-a3d1-c5fd4bc58899.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d785ed0e-1495-4585-a3d1-c5fd4bc58899.jpg?aki_policy=profile_x_medium,,5,5,"['email', 'phone', 'work_email']",t,t,"Bologna, Emilia-Romagna, Italy",Navile,,44.50764,11.34701,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Dishes and silverware"", ""Refrigerator"", ""First aid kit"", ""Iron"", ""Dedicated workspace"", ""Shared patio or balcony"", ""Heating"", ""Wifi"", ""Private entrance"", ""Kitchen"", ""Elevator"", ""Hangers"", ""High chair"", ""Lock on bedroom door"", ""Washer"", ""Essentials""]",$88.00,3,1125,3,3,1125,1125,3.0,1125.0,,t,25,55,85,265,2024-09-17,7,2,0,2018-09-28,2024-03-24,4.43,4.43,5.0,4.0,3.71,4.86,3.86,,t,5,0,5,0,0.1
1058,29897035,https://www.airbnb.com/rooms/29897035,20240917031409,2024-09-17,city scrape,B&B Fiera- Mini attico con terrazza panoramica,"In front of the Fair, near the city center, bright, super attic, functionally divided into two rooms for 35 sq. meters total, with walk-in closet, exclusive bathroom, double bed and sofa bed that converts into a double bed or 2 single beds.  TV, air conditioning and free Wi-Fi. Independent entrance. For breakfast, it is equipped with microwave, refrigerator, toaster, kettle and espresso machine.  Exclusive use of a huge equipped terrace (chairs and table and a second outdoor shower).","The neighborhood, typically residential, is very lively, multi-ethnic and inhabited by many students, since it is the nearest suburb to the university area, which guarantees the existence of various premises (bars, pizzerias, various clubs etc.) and a certain movement even in the evening.  There are also many  shops, grocery stores and supermarkets  open late, and all in all it turns rather quiet, precisely because of the presence  until late at night of the many students who live in the area.<br />The neighborhood is also strongly  influenced by the presence of the fair, with consequent repercussions in terms of services and destination for office use of many of the existing buildings there.",https://a0.muscache.com/pictures/78c6148d-a05d-4f2c-85ec-707a9e3ce8ff.jpg,224808319,https://www.airbnb.com/users/show/224808319,Anna,2018-11-08,"Bologna, Italy",,,,0%,f,https://a0.muscache.com/im/pictures/user/1ee52b3d-22e8-4a80-ae70-9a406535245d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1ee52b3d-22e8-4a80-ae70-9a406535245d.jpg?aki_policy=profile_x_medium,,1,1,['phone'],t,f,"Bologna, Emilia-Romagna, Italy",San Donato - San Vitale,,44.50577,11.36298,Tiny home,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Bed linens"", ""Breakfast"", ""Hangers"", ""Essentials"", ""Private patio or balcony"", ""Iron"", ""Body soap"", ""Heating"", ""Extra pillows and blankets"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Hot water"", ""Shampoo"", ""Dishes and silverware"", ""Dedicated workspace"", ""Outdoor dining area"", ""Shower gel"", ""Bidet"", ""Microwave"", ""Outdoor shower"", ""TV"", ""Outdoor furniture"", ""Elevator"", ""Hair dryer"", ""Clothing storage"", ""Air conditioning"", ""Coffee maker""]",$203.00,2,730,2,4,730,730,2.0,730.0,,t,23,43,71,94,2024-09-17,3,0,0,2019-03-10,2019-04-14,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0,0.04
