,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1,46352,https://www.airbnb.com/rooms/46352,20240917031409,2024-09-17,city scrape,A room in Pasolini's house,"Simple, cozy and silent room in a lived house (me and eventual other guest or a friend); location of the house is central and offers great food, museums and green places.<br />The room is equipped with secretary, chair, closet, night table, a double bed. Furniture could be different from pictures. No locker. Kitchen (available just for breakfast) and bathroom are shared and must be kept clean.<br />I request you to read the rules of the house before booking and to strictly respect them all over the stay.","In the very nearby you have Via Saragozza and San Luca walking (UNESCO heritage) which is the 666 arches longest portico of the world, leading you to Santuario di San Luca; San Francesco Church with the Glossatori Tombs; the Collegio di Spagna with his beautiful portale; and Via del Pratello, famous street with a lot of bars, pubs and nightlife. The principal Bologna square, Piazza Maggiore, and all the main monuments are in a range of 10-15 minutes walking distance - Bologna historical center inside the walls is 45 minutes from wall to wall. You will be in the heart of the city!<br />Train station is 20 minutes walking away, airport 25 minutes away by taxi or about an hour with public transportation.",https://a0.muscache.com/pictures/9f94acc3-98fc-4e61-b4d7-db586bcc3da0.jpg,467810,https://www.airbnb.com/users/show/467810,Eleonora,2011-03-28,"Bologna, Italy","I am an actress, a yoga student and teacher, a mother, a coffee addicted foodwinebeermankind lover and much more.
I am an upfront but hands off host. I really like to travel and I am passionate about cultures and countries, so I am happy to know more about my guests, but I also want to respect them and their personalities and make them feel at ease, so the first thing I do is smiling!
If I have time, it's a pleasure for me to hang out with the people I host; if not, anyway I do my best for them making themselves home, having a good time and making the most in amazing Bologna.
I am not perfect, my house's not perfect too! I decided to open the door to travellers to offer a different and genuine home stay, the good the bad and the weird.
If you are looking for a hotel standard maybe this is not the right accomodation for you. If you are that type of guest who feels the need to find every possible reason to report or complain about, please, stay elsewhere :) I really don't feel the urge to rate you as a guest, we are all humans raised in different environments and I think tolerance and acceptance of diversity is more important than rules. So please, if you book, don't feel the urge to rate me as a host as well, especially because I do everything by myself, from taking care of the house to the cleaning/washing, from communication to welcoming...a hard job and a lot of responsibility!
If you like me strongly believe in human beings, and find interesting to get in contact with people raised in different cultures, I'll be very happy to host you in my place, and the best review I could receive is if you feel home!",a few days or more,44%,51%,f,https://a0.muscache.com/im/users/467810/profile_pic/1358730088/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/467810/profile_pic/1358730088/original.jpg?aki_policy=profile_x_medium,,2,9,"['email', 'phone']",t,t,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,,44.49168,11.33514,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Bed linens"", ""Dining table"", ""Paid parking on premises"", ""Exercise equipment: yoga mat"", ""Clothing storage: closet"", ""Hangers"", ""Essentials"", ""Hot water kettle"", ""Body soap"", ""Heating"", ""Extra pillows and blankets"", ""Wifi"", ""Refrigerator"", ""Hot water"", ""Luggage dropoff allowed"", ""Shampoo"", ""Dishes and silverware"", ""Freezer"", ""Books and reading material"", ""Smoking allowed"", ""Host greets you"", ""Single level home"", ""Children\u2019s books and toys"", ""Bidet"", ""Coffee"", ""Microwave"", ""Pets allowed"", ""Hair dryer"", ""Coffee maker""]",$43.00,2,730,2,2,730,730,2.0,730.0,,t,13,41,71,71,2024-09-17,437,47,1,2010-09-27,2024-09-15,4.72,4.74,4.6,4.83,4.85,4.84,4.67,,f,2,0,2,0,2.57
3,204553,https://www.airbnb.com/rooms/204553,20240917031409,2024-09-17,city scrape,Private Room & Bath Ex-Convent in Centro Storico,"The neighbourhood is the most prestigious of Bologna - the quiet street and elegant palazzo reflects that. Flat is on 1st floor with a lift.<br />Safe for solo woman travellers, children walking home alone, etc.<br />Private room/ private bath, Breakfast included.","Safest, most central, quietest street in Bologna- Bolognese call via Griffoni "" the magical street"" !",https://a0.muscache.com/pictures/36151297/8be9225c_original.jpg,569422,https://www.airbnb.com/users/show/569422,Elizabeth,2011-05-09,"Bologna, Italy","Freelance Photographer, mother of 2 boys, original New York City girl; 
have lived in Bologna over 20 years
",within an hour,100%,50%,f,https://a0.muscache.com/im/pictures/user/d8a6dd9d-c427-49a8-905c-23b22996963b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d8a6dd9d-c427-49a8-905c-23b22996963b.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,,44.49105,11.33982,Private room in rental unit,Private room,2,2.5,2.5 baths,2.0,2.0,"[""Portable air conditioning"", ""Breakfast"", ""TV with standard cable"", ""Hangers"", ""Essentials"", ""Iron"", ""Heating"", ""Wifi"", ""Patio or balcony"", ""Refrigerator"", ""Lock on bedroom door"", ""Paid parking off premises"", ""Hot water"", ""Luggage dropoff allowed"", ""Shampoo"", ""Dishes and silverware"", ""Dedicated workspace"", ""Exercise equipment"", ""Backyard"", ""Host greets you"", ""Children\u2019s dinnerware"", ""Children\u2019s books and toys"", ""Free dryer \u2013 In unit"", ""Elevator"", ""Hair dryer"", ""Kitchen"", ""Coffee maker""]",$92.00,2,30,2,2,30,30,2.0,30.0,,t,8,12,34,34,2024-09-17,267,5,0,2011-09-09,2024-04-13,4.9,4.82,4.92,4.94,4.93,4.97,4.86,,f,1,0,1,0,1.68
6,246747,https://www.airbnb.com/rooms/246747,20240917031409,2024-09-17,city scrape,Charming centro Bologna room with rooftop view,"This lovely, clean, spacious room is in an historic palace, conveniently located between the main piazza and the train station (you can easily walk from the station). On the top floor of a 3 story historic palace. Elegantly decorated with two beds, fine linens, plenty of storage space, and reliable WIFI. Shared bathroom, exceptionally clean. Every detail done with good taste. Elevator.","We are in the historic center, close to the central square and the university area; many of the buildings in this area are noble palaces; it is a safe neighborhood where you can walk even in the evening. The rooms of the Cineteca di Bologna are also equipped with a few.",https://a0.muscache.com/pictures/airflow/Hosting-246747/original/dfaf2bc1-8d98-424c-9e9e-a2e9a11372a7.jpg,1294101,https://www.airbnb.com/users/show/1294101,Giovanna,2011-10-15,"Bologna, Italy","Sono nata sotto il segno della bilancia. 
Mi piace viaggiare ma anche andare alla scoperta della città dove vivo. 

I was born under the sign of Libra.
I like to travel as well to discover the town where I live.
",within a day,100%,100%,f,https://a0.muscache.com/im/users/1294101/profile_pic/1325171948/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1294101/profile_pic/1325171948/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,,44.49702,11.34291,Private room in bed and breakfast,Private room,2,1.0,1 shared bath,1.0,2.0,"[""Iron"", ""Bidet"", ""Exercise equipment"", ""Host greets you"", ""TV"", ""Books and reading material"", ""Heating"", ""Extra pillows and blankets"", ""Wifi"", ""Elevator"", ""Hair dryer"", ""Portable fans"", ""Hangers"", ""Lock on bedroom door"", ""Paid parking off premises"", ""Hot water"", ""Essentials""]",$100.00,2,15,2,2,15,15,2.0,15.0,,t,0,24,51,318,2024-09-17,48,6,0,2012-09-27,2024-04-14,4.7,4.75,4.96,4.88,4.92,4.94,4.69,,f,1,0,1,0,0.33
9,338331,https://www.airbnb.com/rooms/338331,20240917031409,2024-09-17,city scrape,[Fiera District and city center] Room,"We rent, only to women who love animals, a double room in a nice apartment very close to the fair, the station and the centre, reachable on foot or by bus in about 10/15 minutes. The bus stop for the center is only 50 meters from the house.<br />The apartment is shared with me and my dogs, who are sociable with people and polite.<br />Ensure cleanliness and respect for shared spaces","My neighborhood is the multi-ethnic district of Bologna, you will find mainly shops (bars, restaurants, accessories).",https://a0.muscache.com/pictures/10948250/afcb7dcc_original.jpg,1718955,https://www.airbnb.com/users/show/1718955,Valentina,2012-02-08,"Bologna, Italy","Sono una persona tranquilla e rispettosa della privacy altrui.
Sono amante della natura e degli animali.
Se avrete bisogno di informazioni, indicazioni o altro sono a vostra disposizione.",within an hour,100%,63%,f,https://a0.muscache.com/im/users/1718955/profile_pic/1330337633/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1718955/profile_pic/1330337633/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Bologna, Emilia-Romagna, Italy",Navile,,44.51842,11.35544,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Bed linens"", ""Dining table"", ""Fire extinguisher"", ""TV with standard cable"", ""Hangers"", ""Stove"", ""Essentials"", ""Heating"", ""Extra pillows and blankets"", ""Wifi"", ""Refrigerator"", ""Lock on bedroom door"", ""Paid parking off premises"", ""Hot water"", ""Luggage dropoff allowed"", ""Shampoo"", ""Dishes and silverware"", ""Baking sheet"", ""Mosquito net"", ""First aid kit"", ""Cooking basics"", ""Freezer"", ""Dedicated workspace"", ""Ceiling fan"", ""Host greets you"", ""Washer"", ""Coffee"", ""Bidet"", ""Free dryer \u2013 In unit"", ""Microwave"", ""Hair dryer"", ""Clothing storage"", ""Kitchen"", ""Coffee maker""]",$159.00,1,7,1,1,7,7,1.0,7.0,,t,26,56,86,361,2024-09-17,18,6,0,2012-03-10,2023-10-31,4.81,4.82,4.88,4.82,4.94,4.35,4.65,,f,1,0,1,0,0.12
13,524986,https://www.airbnb.com/rooms/524986,20240917031409,2024-09-17,city scrape,Nice and silent appartment,Independent entrance from condominium garden. Apartment located on the second and last floor.<br />Private parking lot (for free use)<br />Comfort: super for those who travel by car and/or bike. <br />In Bologna there is a bike-sharing service with bicycles available 24 hours a day in various areas of the city. You need to download the Mobike app.<br />Faculty of Engineering and Physics via Terracini: 850 mt.<br />Old Town: 2 km from Porta Lame<br />Bus 18 (Oca stop) and 11 A. The night bus is on the 29th,"The green spaces are located along the Navile, reachable on foot  from the Andrea Pazienza and Jimmy Endrix park. From there  the redevelopment of the area created the new Kolletzeck park near the complex of scientific faculties next to the CNR.<br />Comfort: super for those who travel by car and/or bike.<br />In Bologna there is a bike-sharing service with bicycles available 24 hours a day in various areas of the city. You need to download the Mobike app.<br />Faculty of Engineering and Physics via Terracini: 850 mt.<br />CNR 1.6 km<br />Old Town: 2 km from Porta Lame<br />Bus 18 (OCA stop) for Lame/San Felice/Questura area<br />Bus 11 A to reach Bolognina/Train station (better via Carracci)<br />The night bus is on the 29th.<br /><br />Recharge before leaving or returning with an ice cream at the cabin under the house at Belli Comosi. <br />Pizza and Hamburger at Victoria Station Pub (in front, 3 minutes walk) on via Zanardi.<br />The Megu restaurant in Via delle Grazie offers Asian ",https://a0.muscache.com/pictures/8274560/7c181967_original.jpg,3206567,https://www.airbnb.com/users/show/3206567,Stefania,2012-08-09,"Bologna, Italy",Yoga-Fotografia-Arrampicata sportiva,within a few hours,100%,53%,f,https://a0.muscache.com/im/pictures/user/22424406-a8ab-4896-9f35-f7a136a16fa9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/22424406-a8ab-4896-9f35-f7a136a16fa9.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Bologna, Emilia-Romagna, Italy",Navile,,44.5191,11.32102,Private room in condo,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Bed linens"", ""Shared backyard \u2013 Fully fenced"", ""Exercise equipment: yoga mat"", ""Dryer"", ""Hangers"", ""Clothing storage: closet and dresser"", ""Stove"", ""Essentials"", ""Cleaning products"", ""Oven"", ""Dishwasher"", ""Iron"", ""Body soap"", ""Board games"", ""Heating"", ""Extra pillows and blankets"", ""Wine glasses"", ""36 inch HDTV with Netflix"", ""Free parking on premises"", ""Refrigerator"", ""Free street parking"", ""Lock on bedroom door"", ""Toaster"", ""Drying rack for clothing"", ""Hot water"", ""Conditioner"", ""Shampoo"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Dedicated workspace"", ""Shared patio or balcony"", ""Portable fans"", ""Host greets you"", ""Garden view"", ""Laundromat nearby"", ""Washer"", ""Single level home"", ""Shower gel"", ""Cleaning available during stay"", ""Long term stays allowed"", ""Coffee"", ""Bidet"", ""Hair dryer"", ""Kitchen"", ""Air conditioning"", ""Coffee maker""]",$80.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,16,46,76,351,2024-09-17,31,3,0,2013-12-28,2024-01-02,4.48,4.61,4.45,4.74,4.87,4.13,4.55,,f,1,0,1,0,0.24
16,670725,https://www.airbnb.com/rooms/670725,20240917031409,2024-09-17,city scrape,Camera singola e bagno accogliente,,,https://a0.muscache.com/pictures/23358931/8540d229_original.jpg,3398944,https://www.airbnb.com/users/show/3398944,Enzo,2012-08-28,"Bologna, Italy","Enzo, Bologna. Titolare del B&B Ciao Bologna. ",within a few hours,100%,10%,f,https://a0.muscache.com/im/pictures/user/User-3398944/original/d9879e8a-a9fe-46eb-9349-9779fa57a893.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-3398944/original/d9879e8a-a9fe-46eb-9349-9779fa57a893.jpeg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,Savena,,44.46988,11.37673,Private room in bed and breakfast,Private room,1,1.0,1 private bath,1.0,2.0,"[""Breakfast"", ""TV"", ""Heating"", ""Wifi"", ""Elevator""]",$75.00,1,365,1,1,365,365,1.0,365.0,,t,17,47,77,352,2024-09-17,6,0,0,2013-03-10,2023-05-20,5.0,4.83,5.0,4.83,5.0,4.5,4.5,,f,2,0,2,0,0.04
20,732525,https://www.airbnb.com/rooms/732525,20240917031409,2024-09-17,city scrape,room in Bologna with bathroom,The apartment used as a B&B consists of 3 bedrooms all with ensuite. The house is in the district Saragozza out of town near the football Stadium Renato Dall'Ara. Quiet residential area and well served.,,https://a0.muscache.com/pictures/hosting/Hosting-732525/original/0827aa83-817a-49cb-a44f-3ad2d0457a57.jpeg,2879369,https://www.airbnb.com/users/show/2879369,Andrea,2012-07-09,"Bologna, Italy","Sono una persona amichevole, amo conoscere persone nuove.. ",within an hour,100%,60%,f,https://a0.muscache.com/im/users/2879369/profile_pic/1365248192/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2879369/profile_pic/1365248192/original.jpg?aki_policy=profile_x_medium,,2,4,"['email', 'phone']",t,t,,Porto - Saragozza,,44.49228,11.31329,Private room in bed and breakfast,Private room,2,0.0,0 shared baths,1.0,1.0,"[""Bed linens"", ""Breakfast"", ""Clothing storage: closet"", ""Hangers"", ""Safe"", ""Essentials"", ""Iron"", ""Ethernet connection"", ""Heating"", ""Extra pillows and blankets"", ""Wifi"", ""Crib"", ""Free parking on premises"", ""Refrigerator"", ""Lock on bedroom door"", ""Bathtub"", ""Hot water"", ""Luggage dropoff allowed"", ""Room-darkening shades"", ""Mosquito net"", ""Host greets you"", ""Bidet"", ""Microwave"", ""TV"", ""Hair dryer"", ""Air conditioning""]",$121.00,1,30,1,1,30,30,1.0,30.0,,t,26,56,86,305,2024-09-17,17,0,0,2013-03-30,2023-03-19,5.0,4.94,5.0,5.0,5.0,4.53,4.94,IT037006C1AZJOO6IC,f,1,0,1,0,0.12
27,860436,https://www.airbnb.com/rooms/860436,20240917031409,2024-09-17,city scrape,close to the station & the center with priv. bath.,"It is 600m from the station and just over 1km from the fairgrounds and the center of bologna. I will be able to recommend the best restaurant, the nearest bus or the one that offers the evening in Bologna. Check Trip Advisor for good reviews!","nice zone of the town, full of shops and restaurants, very very close to the trainstation and to the center",https://a0.muscache.com/pictures/prohost-api/Hosting-860436/original/a13f5b4b-cd44-4b6b-8286-992278982033.jpeg,4506590,https://www.airbnb.com/users/show/4506590,Alessandro,2012-12-27,"Bologna, Italy","Sono una persona gentile e divertente, mi piace molto la musica,suono la batteria da diversi anni. Amo gli animali,soprattutto i gatti. Gestisco il bb da diversi anni e tutti gli ospiti che ho avuto si sono sempre trovati bene,spero di continuare così dato che amo il mio lavoro.",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/8b0faedb-820b-42d1-9fbf-9267cb8becc1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8b0faedb-820b-42d1-9fbf-9267cb8becc1.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,"Bologna, Emilia-Romagna, Italy",Navile,,44.50986099243164,11.349018096923828,Private room in bed and breakfast,Private room,3,1.0,1 private bath,1.0,3.0,"[""Bed linens"", ""Fire extinguisher"", ""Portable air conditioning"", ""Breakfast"", ""Hangers"", ""Stove"", ""Essentials"", ""Extra pillows and blankets"", ""Wifi"", ""Refrigerator"", ""Lock on bedroom door"", ""Paid parking off premises"", ""Hot water"", ""Luggage dropoff allowed"", ""Shampoo"", ""Dedicated workspace"", ""Smoke alarm"", ""Host greets you"", ""Paid parking lot on premises \u2013 1 space"", ""Long term stays allowed"", ""Microwave"", ""TV"", ""Central heating"", ""Hair dryer"", ""Coffee maker""]",$133.00,1,1125,1,4,1125,1125,1.1,1125.0,,t,21,49,79,94,2024-09-17,46,3,0,2013-05-10,2024-04-09,4.58,4.68,4.8,4.89,4.8,4.6,4.35,IT037006B48EBY34UV,t,2,0,2,0,0.33
31,953017,https://www.airbnb.com/rooms/953017,20240917031409,2024-09-17,city scrape,AmaBologna B&B Double Room,,"Wikipedia:<br />The Porta Saragozza of Bologna was one of the gates or portals in the medieval walls of this city.<br /><br />The gate was built in the 13-14th centuries, and by 1334 it was provided with a drawbridge crossing a moat. It was not used much until 1674, when the long Portico di San Luca was built from the center of town to the Basilica della Beata Vergine di San Luca, used in yearly procession of an icon. From then on it became also known as the “Porta Sacra” or the “Porta dei pellegrini” (Holy Gate and Gate of Pilgrims) for its placement in the route towards the Sanctuary of San Luca.<br /><br />In 1859, concordant with a rising movement to restore medieval remnants in Italian cities, the architect Giuseppe Mengoli, replaced the mediaeval cassero with the present one by connecting it with two crenellated arches to the two lateral cylindrical great towers, giving it its present castle-like form.[1]<br /><br />About nine of the original twelve gates remain in the third set ",https://a0.muscache.com/pictures/14186316/787e49fe_original.jpg,374533,https://www.airbnb.com/users/show/374533,Ersi,2011-02-02,"Bologna, Italy","Ciao, sono Ersi. 
Sono una guida turistica di Bologna con patentino, e su richiesta, compatibilmente con i miei impegni e i vostri, posso accompagnarvi alla scoperta della mia splendida città.",within a day,100%,36%,f,https://a0.muscache.com/im/pictures/user/1852cf89-8822-4080-9995-1b8a50d9bf99.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1852cf89-8822-4080-9995-1b8a50d9bf99.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,,44.49044,11.32101,Private room in vacation home,Private room,2,1.0,1 private bath,2.0,2.0,"[""Bed linens"", ""Breakfast"", ""Hangers"", ""Essentials"", ""Cleaning products"", ""Indoor fireplace"", ""Iron"", ""Body soap"", ""Heating"", ""Extra pillows and blankets"", ""Wifi"", ""Paid parking off premises"", ""Bathtub"", ""Hot water"", ""Conditioner"", ""Shampoo"", ""Mosquito net"", ""Portable fans"", ""Host greets you"", ""Shower gel"", ""Bidet"", ""Elevator"", ""Hair dryer"", ""Coffee maker""]",$80.00,2,7,2,2,7,7,2.0,7.0,,t,10,40,70,345,2024-09-17,14,4,0,2013-03-11,2024-05-29,4.5,4.64,4.71,4.86,4.64,4.43,4.43,,f,1,0,1,0,0.1
33,981083,https://www.airbnb.com/rooms/981083,20240917031409,2024-09-17,city scrape,Doppia o Matrimoniale con bagno,,,https://a0.muscache.com/pictures/14688199/b5eb1386_original.jpg,3398944,https://www.airbnb.com/users/show/3398944,Enzo,2012-08-28,"Bologna, Italy","Enzo, Bologna. Titolare del B&B Ciao Bologna. ",within a few hours,100%,10%,f,https://a0.muscache.com/im/pictures/user/User-3398944/original/d9879e8a-a9fe-46eb-9349-9779fa57a893.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-3398944/original/d9879e8a-a9fe-46eb-9349-9779fa57a893.jpeg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,Savena,,44.47116,11.37847,Private room in bed and breakfast,Private room,2,,,1.0,,"[""Dedicated workspace"", ""Breakfast"", ""Shampoo"", ""TV"", ""Heating"", ""Wifi"", ""Free parking on premises"", ""Elevator"", ""Air conditioning"", ""Essentials""]",$120.00,1,7,1,1,7,7,1.0,7.0,,t,30,60,90,365,2024-09-17,7,0,0,2015-05-17,2023-03-18,5.0,4.86,5.0,5.0,5.0,4.14,4.29,,f,2,0,2,0,0.06
